Subject,Lunch
Jabba,whey and shoots and rice
Han,brownies and carrots and pita
Luke,pita and pita and beans
Leah,whey and shoots and rice
Anakin,beans and hummous and carrots
Chewbacca,tofu and beans and whey
C3PO,rice and pita and tofu
R2D2,tofu and shoots and carrots
Boba Fett,carrots and tofu and beans
Yoda,pita and whey and rice
Greedo,shoots and carrots and brussel sprouts
Palpatine,hummous and beans and carrots
Obi-Wan,carrots and rice and spelt
Lando,rice and hummous and shoots
Motti,tofu and brussel sprouts and spelt
Maul,beans and whey and tofu
Vader,brussel sprouts and beans and spelt
Grand Moff Tarkin,whey and tofu and carrots
Jar Jar,carrots and pita and hummous
Jawa,beans and carrots and brussel sprouts
Sandperson17,hummous and tofu and whey
